province_id_legacy63,year,ookla_rank,vnnic_rank
VN_LEGACY63_87,2022,26.0,16.0
VN_LEGACY63_87,2023,28.0,15.0
VN_LEGACY63_87,2024,47.0,31.0
VN_LEGACY63_89,2021,56.0,39.0
VN_LEGACY63_89,2022,49.5,46.0
VN_LEGACY63_89,2023,39.0,46.0
VN_LEGACY63_89,2024,46.0,50.0
VN_LEGACY63_91,2021,53.0,30.0
VN_LEGACY63_91,2022,39.0,29.0
VN_LEGACY63_91,2023,38.0,42.0
VN_LEGACY63_91,2024,31.0,45.0
VN_LEGACY63_92,2021,60.0,43.0
VN_LEGACY63_92,2022,59.0,58.0
VN_LEGACY63_92,2023,58.0,44.0
VN_LEGACY63_92,2024,57.0,48.0
VN_LEGACY63_93,2021,44.0,28.0
VN_LEGACY63_93,2022,23.0,44.0
VN_LEGACY63_93,2023,35.0,54.0
VN_LEGACY63_93,2024,39.0,41.5
VN_LEGACY63_94,2021,39.0,22.0
VN_LEGACY63_94,2022,34.0,42.5
VN_LEGACY63_94,2023,29.0,56.0
VN_LEGACY63_94,2024,38.0,53.0
VN_LEGACY63_95,2021,58.0,46.0
VN_LEGACY63_95,2022,38.0,39.0
VN_LEGACY63_95,2023,45.0,57.0
VN_LEGACY63_95,2024,41.0,33.0
VN_LEGACY63_96,2021,57.0,20.0
VN_LEGACY63_96,2022,52.0,40.0
VN_LEGACY63_96,2023,55.0,40.0
VN_LEGACY63_96,2024,49.0,47.0
