shapeISO,year,active_firms_per_1000
VN-63,2024,6.50626527177468
VN-67,2021,3.51528208300749
VN-67,2022,3.64865887277327
VN-67,2023,3.77192717499188
VN-67,2024,3.94308110425276
VN-18,2021,4.70935231963188
VN-18,2022,5.10709363631597
VN-18,2023,5.48617003391004
VN-18,2024,5.67676138288198
VN-21,2021,3.79073669663451
VN-21,2022,4.16274970386015
VN-21,2023,4.4
VN-21,2024,4.5
VN-22,2021,3.64066992549736
VN-22,2022,3.8496263486057
VN-22,2023,4.0
VN-22,2024,4.1
VN-23,2021,3.95645270265908
VN-23,2022,4.217865347154
VN-23,2023,4.4
VN-23,2024,4.5
VN-24,2021,5.19845605635504
VN-24,2022,5.50301905539348
VN-24,2023,5.6
VN-24,2024,5.6
VN-25,2021,4.72220923696525
VN-25,2022,5.03764768172779
VN-25,2023,5.1
VN-25,2024,5.1
VN-26,2021,4.12811634649136
VN-26,2022,4.42673138980059
VN-26,2023,4.5
VN-26,2024,4.6
VN-DN,2021,20.66352819936294
VN-DN,2022,20.83205279190813
VN-DN,2023,20.7
VN-DN,2024,19.9
VN-27,2021,5.20587490152221
VN-27,2022,5.43444995034162
VN-27,2023,5.5
VN-27,2024,5.5
VN-29,2021,4.35243312463161
VN-29,2022,4.44988917423769
VN-29,2023,4.6
VN-29,2024,4.5
VN-31,2021,4.67937217649812
VN-31,2022,5.14862542669773
VN-31,2023,5.4
VN-31,2024,5.5
VN-38,2021,3.5269863569132
VN-38,2022,3.76902622461982
VN-38,2023,3.9
VN-38,2024,3.9
VN-34,2021,8.92904358918067
VN-34,2022,8.93004532009962
VN-34,2023,9.1
VN-34,2024,9.0
VN-36,2021,4.71941354810857
VN-36,2022,4.97926281521273
VN-36,2023,5.2
VN-36,2024,5.2
VN-40,2021,4.38575953382715
VN-40,2022,4.64036752349735
VN-40,2023,4.7
VN-40,2024,4.7
VN-28,2021,3.46707075916818
VN-28,2022,3.53673130843539
VN-28,2023,3.6
VN-28,2024,3.6
VN-30,2021,3.08143925581134
VN-30,2022,3.2923083305206
VN-30,2023,3.4
VN-30,2024,3.4
VN-33,2021,3.7124158872089
VN-33,2022,3.84322678843227
VN-33,2023,4.0
VN-33,2024,4.2
VN-72,2021,3.5534942835216
VN-72,2022,3.8266637636118
VN-72,2023,3.9
VN-72,2024,4.0
VN-35,2021,5.58313077462535
VN-35,2022,5.76796654789529
VN-35,2023,6.1
VN-35,2024,6.0
VN-58,2021,6.06862347881693
VN-58,2022,6.39336134234493
VN-58,2023,6.7
VN-58,2024,6.7
VN-37,2021,3.85817158202803
