province_id_legacy63,shapeISO,year,ookla_tile_median_download_mbps,ookla_tile_mean_download_mbps,ookla_tests_weighted_mean_download_mbps,ookla_devices_weighted_mean_download_mbps
VN_LEGACY63_12,VN-01,2021,49.293499999999995,54.550421487603295,55.80653393981805,54.041922772277225
VN_LEGACY63_12,VN-01,2022,48.275,60.3822256097561,62.32995308641975,62.59946095717884
VN_LEGACY63_12,VN-01,2023,58.936499999999995,78.44402953586498,91.29397724597881,82.91023130608176
VN_LEGACY63_12,VN-01,2024,83.205,98.30346921443737,107.92938162118779,103.58284592737978
VN_LEGACY63_14,VN-05,2021,45.313,49.359338103756706,55.28008993255059,51.735258669165894
VN_LEGACY63_14,VN-05,2022,41.763,54.250747381392486,60.209997037037034,59.678079588521925
VN_LEGACY63_14,VN-05,2023,52.991,76.55645714285714,90.49605314698613,86.58663251670379
VN_LEGACY63_14,VN-05,2024,72.4145,94.04401034063261,103.07647530634979,99.1416202710333
VN_LEGACY63_15,VN-06,2021,45.097,50.10539616055846,49.221340465365074,50.20552169811321
VN_LEGACY63_15,VN-06,2022,45.712,55.20395234708393,61.657743803651314,59.13769740828003
VN_LEGACY63_15,VN-06,2023,60.171,79.86034678044996,87.21927495932553,85.64724074074074
VN_LEGACY63_15,VN-06,2024,74.112,95.32853293768545,102.45878762647554,99.89451149266131
VN_LEGACY63_17,VN-14,2021,45.924,49.58735264900662,52.85980504243635,49.72692021276596
VN_LEGACY63_17,VN-14,2022,48.781,61.39423625254583,66.45529481641469,64.3931733615222
VN_LEGACY63_17,VN-14,2023,57.421,77.5706923076923,89.1346069663734,81.46967615411315
VN_LEGACY63_17,VN-14,2024,80.308,96.49839000693962,103.93593365041617,100.75506143871564
VN_LEGACY63_19,VN-69,2021,43.781000000000006,48.13376677577742,51.991017757696746,51.06891450690003
VN_LEGACY63_19,VN-69,2022,45.676,53.214777730736664,62.46032134214444,59.48440537730244
VN_LEGACY63_19,VN-69,2023,64.3895,81.14082724505327,97.86452117567339,91.82130165759838
VN_LEGACY63_19,VN-69,2024,78.001,94.74907734403503,109.44153527402963,104.13397666748106
VN_LEGACY63_20,VN-09,2021,42.501,48.481300225733634,51.18522386185243,50.03784923076923
VN_LEGACY63_20,VN-09,2022,47.553,60.46492186201163,63.047013125613354,64.36041805555556
VN_LEGACY63_20,VN-09,2023,67.072,88.19557997010463,97.0583722550177,92.24762981917435
VN_LEGACY63_20,VN-09,2024,84.26050000000001,98.72978746594006,108.70484043416515,105.62361716461628
VN_LEGACY63_22,VN-13,2021,49.0565,53.003996279761914,55.793239799487054,55.158616759088105
VN_LEGACY63_22,VN-13,2022,54.659,64.20094436586515,65.85448050036791,65.7358159093111
VN_LEGACY63_22,VN-13,2023,74.05,89.48571003530004,94.27554879331998,91.11264264750531
VN_LEGACY63_22,VN-13,2024,93.113,108.6178730941704,121.51462119712441,117.80047703793733
VN_LEGACY63_24,VN-54,2021,43.47,50.00306426229509,52.89164703979295,50.92551421636615
VN_LEGACY63_24,VN-54,2022,50.712,62.842240456769986,68.79845588109312,66.32383037300177
VN_LEGACY63_24,VN-54,2023,68.902,85.29983461409955,93.08498195488721,89.85987102996013
VN_LEGACY63_24,VN-54,2024,81.779,95.96410322580645,106.23365524065865,101.91402327735959
VN_LEGACY63_25,VN-68,2021,44.933,49.61937178545187,50.759117854444725,50.39439657794677
VN_LEGACY63_25,VN-68,2022,48.4825,57.54792158730158,61.16837075148113,58.88616383029722
VN_LEGACY63_25,VN-68,2023,65.624,80.20053885853065,87.44612284013954,83.73393811146532
VN_LEGACY63_25,VN-68,2024,82.62049999999999,96.28097381095726,100.94855424644085,97.66861413893231
VN_LEGACY63_26,VN-70,2021,44.303,50.00919611848825,50.49199301082637,49.52783164673413
VN_LEGACY63_26,VN-70,2022,49.698,57.80313431916204,63.48605171411971,62.45836837440171
VN_LEGACY63_26,VN-70,2023,67.474,80.43102801600914,88.09063952813769,85.3970780206436
VN_LEGACY63_26,VN-70,2024,87.982,97.34656039713181,103.90674228122796,100.92814789706696
VN_LEGACY63_27,VN-56,2021,45.478,50.06437752161383,53.69446352025836,50.92883045977011
VN_LEGACY63_27,VN-56,2022,56.048,64.10908800567778,67.16712462359116,66.05114022958517
VN_LEGACY63_27,VN-56,2023,80.0495,89.32583513513514,95.30617314672755,92.5146330786953
VN_LEGACY63_27,VN-56,2024,88.022,97.99526592252134,104.03652710394621,101.6682005851375
VN_LEGACY63_30,VN-61,2021,45.177,48.82782086034178,51.719283795459894,50.04863999999999
VN_LEGACY63_30,VN-61,2022,51.596999999999994,60.38200269023829,66.25214545059247,63.05684596685083
VN_LEGACY63_30,VN-61,2023,65.941,79.4819243119266,93.56940132743362,87.30573219340958
VN_LEGACY63_30,VN-61,2024,92.3035,108.50822727272725,126.79338758854742,121.44440238680879
VN_LEGACY63_31,VN-HP,2021,48.746,51.22271304926764,54.96504453178991,54.30132566082566
VN_LEGACY63_31,VN-HP,2022,52.626000000000005,60.00087144259077,67.07954767226927,66.22541704877031
VN_LEGACY63_31,VN-HP,2023,68.1215,77.21704019607843,93.37304094673563,91.05635664969662
VN_LEGACY63_31,VN-HP,2024,95.473,109.6715412203074,131.0895072261484,125.90597101630333
VN_LEGACY63_33,VN-66,2021,45.9495,50.82227671755725,54.12606750524109,52.1459126387397
VN_LEGACY63_33,VN-66,2022,53.0135,62.204589420654905,65.02799840648993,63.78877655412259
VN_LEGACY63_33,VN-66,2023,77.07,86.9719754601227,94.6201639577987,91.71539261191981
VN_LEGACY63_33,VN-66,2024,83.643,94.53099939172749,106.63299684189487,103.43086312849162
VN_LEGACY63_34,VN-20,2021,42.216,46.945183559457305,48.98659901733315,47.6302436003303
VN_LEGACY63_34,VN-20,2022,49.211,59.432620571916345,60.48928933255456,60.175364808153475
VN_LEGACY63_34,VN-20,2023,61.8695,79.4063416309013,86.83453084839485,82.42302641908212
VN_LEGACY63_34,VN-20,2024,76.87549999999999,88.83167862838916,94.52197546773988,90.61077946568885
VN_LEGACY63_35,VN-63,2021,46.4105,52.786203601108035,54.550649708425496,52.697575905292474
VN_LEGACY63_35,VN-63,2022,51.534,63.42572267657993,67.88845026704853,66.36610558549731
VN_LEGACY63_35,VN-63,2023,64.36949999999999,77.53296346153847,86.83542557134034,83.19584733777037
VN_LEGACY63_35,VN-63,2024,77.991,92.58465477114042,102.16101355157974,97.75258795064119
VN_LEGACY63_36,VN-67,2021,44.209,48.5868172439204,49.94820155700118,49.03093303261624
VN_LEGACY63_36,VN-67,2022,48.231,55.70444616044616,60.459991561740665,57.47419551059997
VN_LEGACY63_36,VN-67,2023,63.007,77.91415537332757,90.32834341820914,82.97248424617197
VN_LEGACY63_36,VN-67,2024,74.416,85.51520148961193,96.5807770671914,89.876085996006
VN_LEGACY63_37,VN-18,2021,42.2175,47.96078080229226,52.174481435643564,48.64774792066538
VN_LEGACY63_37,VN-18,2022,44.137,53.90586949806949,59.20948268357305,57.053979708636845
VN_LEGACY63_37,VN-18,2023,58.897,76.13113148148149,83.43960176390773,80.14091279750293
VN_LEGACY63_37,VN-18,2024,88.9045,102.86456685393259,108.5227480911253,101.85447613823366
VN_LEGACY63_38,VN-21,2021,45.293,50.988625209146676,55.41767961165049,52.406548048922545
