year,quadkey,tile_x,tile_y,decoded_x,decoded_y,absolute_lon_difference,absolute_lat_difference,assignment_status,shapeISO
2024,1320322211230001,102.4008,22.9963,102.40081787109375,22.996323306867158,1.7871093746180122e-05,2.330686715623642e-05,OUTSIDE_VIETNAM,
2024,1320322211230102,102.4173,22.991300000000003,102.41729736328125,22.991266590272026,2.636718747339728e-06,3.3409727976163595e-05,OUTSIDE_VIETNAM,
2024,1320322213122322,102.50520000000002,22.758499999999998,102.50518798828125,22.758453448852343,1.2011718766302693e-05,4.655114765483859e-05,ASSIGNED_UNIQUE,VN-01
2024,1320322213213120,102.46119999999999,22.7027,102.46124267578125,22.70272172445998,4.267578125904947e-05,2.1724459980276833e-05,ASSIGNED_UNIQUE,VN-01
2024,1320322213213211,102.45570000000001,22.6926,102.45574951171875,22.692586244730673,4.951171874267857e-05,1.3755269325343988e-05,ASSIGNED_UNIQUE,VN-01
2024,1320322213213220,102.4393,22.6824,102.43927001953125,22.682450015215043,2.9980468752910383e-05,5.0015215041554484e-05,ASSIGNED_UNIQUE,VN-01
2024,1320322213231222,102.4393,22.6368,102.43927001953125,22.63682771081088,2.9980468752910383e-05,2.7710810879710834e-05,ASSIGNED_UNIQUE,VN-01
2024,1320322213231301,102.46669999999999,22.651999999999997,102.46673583984375,22.652036830568672,3.583984376120952e-05,3.6830568674872666e-05,ASSIGNED_UNIQUE,VN-01
2024,1320322213233000,102.4393,22.6318,102.43927001953125,22.631757630008696,2.9980468752910383e-05,4.236999130213803e-05,ASSIGNED_UNIQUE,VN-01
2024,1320322213233001,102.44479999999999,22.6318,102.44476318359375,22.631757630008696,3.681640623653948e-05,4.236999130213803e-05,ASSIGNED_UNIQUE,VN-01
2024,1320322213300200,102.48319999999998,22.7331,102.48321533203125,22.733123662313673,1.5332031267689672e-05,2.3662313672900837e-05,ASSIGNED_UNIQUE,VN-01
2024,1320322213323101,102.55460000000001,22.6318,102.55462646484375,22.631757630008696,2.6464843742246558e-05,4.236999130213803e-05,ASSIGNED_UNIQUE,VN-01
2024,1320322230301021,102.1811,22.418599999999998,102.18109130859375,22.418645732760517,8.691406250704858e-06,4.573276051900166e-05,ASSIGNED_UNIQUE,VN-71
2024,1320322230312100,102.2415,22.3882,102.24151611328125,22.388174382531716,1.6113281247953637e-05,2.5617468285332734e-05,ASSIGNED_UNIQUE,VN-71
2024,1320322231031101,102.46669999999999,22.509999999999998,102.46673583984375,22.510019650257966,3.583984376120952e-05,1.965025796835107e-05,ASSIGNED_UNIQUE,VN-01
2024,1320322231031110,102.4722,22.509999999999998,102.47222900390625,22.510019650257966,2.9003906249158717e-05,1.965025796835107e-05,ASSIGNED_UNIQUE,VN-01
2024,1320322231032133,102.43380000000002,22.4542,102.43377685546875,22.454187192895184,2.3144531269281288e-05,1.280710481665892e-05,ASSIGNED_UNIQUE,VN-01
2024,1320322231032310,102.4283,22.449099999999998,102.42828369140625,22.44911039888609,1.6308593743019628e-05,1.0398886093554438e-05,ASSIGNED_UNIQUE,VN-01
2024,1320322231033022,102.4393,22.4542,102.43927001953125,22.454187192895184,2.9980468752910383e-05,1.280710481665892e-05,ASSIGNED_UNIQUE,VN-01
2024,1320322231100132,102.51619999999998,22.576,102.51617431640625,22.57597440287647,2.5683593733560883e-05,2.559712353189525e-05,ASSIGNED_UNIQUE,VN-01
2024,1320322231100301,102.5107,22.5709,102.51068115234375,22.570902079599385,1.8847656249931788e-05,2.079599383364439e-06,ASSIGNED_UNIQUE,VN-01
2024,1320322231100310,102.51619999999998,22.5709,102.51617431640625,22.570902079599385,2.5683593733560883e-05,2.079599383364439e-06,ASSIGNED_UNIQUE,VN-01
2021,1320322123211030,103.1534,23.3902,103.15338134765625,23.390161126960717,1.8652343754865797e-05,3.887303928351571e-05,OUTSIDE_VIETNAM,
2021,1320322123211122,103.16439999999997,23.385099999999998,103.16436767578125,23.38511927973968,3.232421872212399e-05,1.9279739682076524e-05,OUTSIDE_VIETNAM,
2021,1320322123211201,103.14789999999998,23.3801,103.14788818359375,23.38007724065646,1.1816406228604137e-05,2.2759343540457166e-05,OUTSIDE_VIETNAM,
2021,1320322123211210,103.1534,23.3801,103.15338134765625,23.38007724065646,1.8652343754865797e-05,2.2759343540457166e-05,OUTSIDE_VIETNAM,
2021,1320322123211211,103.15889999999999,23.3801,103.15887451171875,23.38007724065646,2.5488281238494892e-05,2.2759343540457166e-05,OUTSIDE_VIETNAM,
2021,1320322123211212,103.1534,23.375,103.15338134765625,23.375035009742792,1.8652343754865797e-05,3.500974279191382e-05,OUTSIDE_VIETNAM,
2021,1320322123211213,103.15889999999999,23.375,103.15887451171875,23.375035009742792,2.5488281238494892e-05,3.500974279191382e-05,OUTSIDE_VIETNAM,
2021,1320322123211221,103.14789999999998,23.369999999999997,103.14788818359375,23.369992587030435,1.1816406228604137e-05,7.4129695626368175e-06,OUTSIDE_VIETNAM,
2021,1320322123211222,103.1424,23.364900000000002,103.14239501953125,23.36494997255115,4.980468744975042e-06,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2021,1320322123211223,103.14789999999998,23.364900000000002,103.14788818359375,23.36494997255115,1.1816406228604137e-05,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2021,1320322123211230,103.1534,23.369999999999997,103.15338134765625,23.369992587030435,1.8652343754865797e-05,7.4129695626368175e-06,OUTSIDE_VIETNAM,
2021,1320322123211231,103.15889999999999,23.369999999999997,103.15887451171875,23.369992587030435,2.5488281238494892e-05,7.4129695626368175e-06,OUTSIDE_VIETNAM,
2021,1320322123211232,103.1534,23.364900000000002,103.15338134765625,23.36494997255115,1.8652343754865797e-05,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2021,1320322123211233,103.15889999999999,23.364900000000002,103.15887451171875,23.36494997255115,2.5488281238494892e-05,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2021,1320322123213010,103.1534,23.359900000000003,103.15338134765625,23.359907166336694,1.8652343754865797e-05,7.166336690289654e-06,OUTSIDE_VIETNAM,
2021,1320322123213011,103.15889999999999,23.359900000000003,103.15887451171875,23.359907166336694,2.5488281238494892e-05,7.166336690289654e-06,OUTSIDE_VIETNAM,
2021,1320322123213012,103.1534,23.354900000000004,103.15338134765625,23.354864168418857,1.8652343754865797e-05,3.5831581147505176e-05,OUTSIDE_VIETNAM,
2021,1320322123213013,103.15889999999999,23.354900000000004,103.15887451171875,23.354864168418857,2.5488281238494892e-05,3.5831581147505176e-05,OUTSIDE_VIETNAM,
2021,1320322123213030,103.1534,23.3498,103.15338134765625,23.349820978829413,1.8652343754865797e-05,2.0978829414985967e-05,OUTSIDE_VIETNAM,
2021,1320322123213031,103.15889999999999,23.3498,103.15887451171875,23.349820978829413,2.5488281238494892e-05,2.0978829414985967e-05,OUTSIDE_VIETNAM,
2021,1320322123310201,103.2797,23.3801,103.27972412109375,23.38007724065646,2.4121093744611244e-05,2.2759343540457166e-05,OUTSIDE_VIETNAM,
2021,1320322123311131,103.3566,23.3902,103.35662841796875,23.390161126960717,2.841796874974989e-05,3.887303928351571e-05,OUTSIDE_VIETNAM,
2021,1320322123311133,103.3566,23.385099999999998,103.35662841796875,23.38511927973968,2.841796874974989e-05,1.9279739682076524e-05,OUTSIDE_VIETNAM,
2021,1320322123311311,103.3566,23.3801,103.35662841796875,23.38007724065646,2.841796874974989e-05,2.2759343540457166e-05,OUTSIDE_VIETNAM,
2021,1320322123311313,103.3566,23.375,103.35662841796875,23.375035009742792,2.841796874974989e-05,3.500974279191382e-05,OUTSIDE_VIETNAM,
2021,1320322123311321,103.34560000000002,23.369999999999997,103.34564208984375,23.369992587030435,4.2089843731218934e-05,7.4129695626368175e-06,OUTSIDE_VIETNAM,
2021,1320322123311331,103.3566,23.369999999999997,103.35662841796875,23.369992587030435,2.841796874974989e-05,7.4129695626368175e-06,OUTSIDE_VIETNAM,
2021,1320322123313111,103.3566,23.359900000000003,103.35662841796875,23.359907166336694,2.841796874974989e-05,7.166336690289654e-06,OUTSIDE_VIETNAM,
2021,1320322132200033,103.3786,23.385099999999998,103.37860107421875,23.38511927973968,1.074218744179234e-06,1.9279739682076524e-05,OUTSIDE_VIETNAM,
2021,1320322132200200,103.36210000000001,23.3801,103.36212158203125,23.38007724065646,2.1582031237699084e-05,2.2759343540457166e-05,OUTSIDE_VIETNAM,
2021,1320322132200201,103.3676,23.3801,103.36761474609375,23.38007724065646,1.4746093754069989e-05,2.2759343540457166e-05,OUTSIDE_VIETNAM,
2021,1320322132200202,103.36210000000001,23.375,103.36212158203125,23.375035009742792,2.1582031237699084e-05,3.500974279191382e-05,OUTSIDE_VIETNAM,
2021,1320322132200210,103.37310000000002,23.3801,103.37310791015625,23.38007724065646,7.91015622780833e-06,2.2759343540457166e-05,OUTSIDE_VIETNAM,
2021,1320322132200211,103.3786,23.3801,103.37860107421875,23.38007724065646,1.074218744179234e-06,2.2759343540457166e-05,OUTSIDE_VIETNAM,
2021,1320322132200221,103.3676,23.369999999999997,103.36761474609375,23.369992587030435,1.4746093754069989e-05,7.4129695626368175e-06,OUTSIDE_VIETNAM,
2021,1320322132200222,103.36210000000001,23.364900000000002,103.36212158203125,23.36494997255115,2.1582031237699084e-05,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2021,1320322132200232,103.37310000000002,23.364900000000002,103.37310791015625,23.36494997255115,7.91015622780833e-06,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2021,1320322132200233,103.3786,23.364900000000002,103.37860107421875,23.36494997255115,1.074218744179234e-06,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2021,1320322132200300,103.38409999999999,23.3801,103.38409423828125,23.38007724065646,5.7617187394498615e-06,2.2759343540457166e-05,OUTSIDE_VIETNAM,
2021,1320322132200302,103.38409999999999,23.375,103.38409423828125,23.375035009742792,5.7617187394498615e-06,3.500974279191382e-05,OUTSIDE_VIETNAM,
2021,1320322132200320,103.38409999999999,23.369999999999997,103.38409423828125,23.369992587030435,5.7617187394498615e-06,7.4129695626368175e-06,OUTSIDE_VIETNAM,
2021,1320322132200321,103.38960000000002,23.369999999999997,103.38958740234375,23.369992587030435,1.2597656265711521e-05,7.4129695626368175e-06,OUTSIDE_VIETNAM,
2021,1320322132200322,103.38409999999999,23.364900000000002,103.38409423828125,23.36494997255115,5.7617187394498615e-06,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2021,1320322132201221,103.41159999999999,23.369999999999997,103.41156005859375,23.369992587030435,3.9941406242860467e-05,7.4129695626368175e-06,OUTSIDE_VIETNAM,
2021,1320322132201222,103.40610000000001,23.364900000000002,103.40606689453125,23.36494997255115,3.310546875923137e-05,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2021,1320322132201230,103.4171,23.369999999999997,103.41705322265625,23.369992587030435,4.677734375491127e-05,7.4129695626368175e-06,OUTSIDE_VIETNAM,
2021,1320322132202010,103.37310000000002,23.359900000000003,103.37310791015625,23.359907166336694,7.91015622780833e-06,7.166336690289654e-06,OUTSIDE_VIETNAM,
2021,1320322132202012,103.37310000000002,23.354900000000004,103.37310791015625,23.354864168418857,7.91015622780833e-06,3.5831581147505176e-05,OUTSIDE_VIETNAM,
2021,1320322132202100,103.38409999999999,23.359900000000003,103.38409423828125,23.359907166336694,5.7617187394498615e-06,7.166336690289654e-06,OUTSIDE_VIETNAM,
2021,1320322132202101,103.38960000000002,23.359900000000003,103.38958740234375,23.359907166336694,1.2597656265711521e-05,7.166336690289654e-06,OUTSIDE_VIETNAM,
2021,1320322132202103,103.38960000000002,23.354900000000004,103.38958740234375,23.354864168418857,1.2597656265711521e-05,3.5831581147505176e-05,OUTSIDE_VIETNAM,
2021,1320322132202110,103.3951,23.359900000000003,103.39508056640625,23.359907166336694,1.9433593749340616e-05,7.166336690289654e-06,OUTSIDE_VIETNAM,
2021,1320322132202111,103.40060000000001,23.359900000000003,103.40057373046875,23.359907166336694,2.626953126139142e-05,7.166336690289654e-06,OUTSIDE_VIETNAM,
2021,1320322132202112,103.3951,23.354900000000004,103.39508056640625,23.354864168418857,1.9433593749340616e-05,3.5831581147505176e-05,OUTSIDE_VIETNAM,
2021,1320322132202113,103.40060000000001,23.354900000000004,103.40057373046875,23.354864168418857,2.626953126139142e-05,3.5831581147505176e-05,OUTSIDE_VIETNAM,
2021,1320322132202121,103.38960000000002,23.3498,103.38958740234375,23.349820978829413,1.2597656265711521e-05,2.0978829414985967e-05,OUTSIDE_VIETNAM,
2021,1320322132202123,103.38960000000002,23.3448,103.38958740234375,23.34477759760015,1.2597656265711521e-05,2.2402399849852372e-05,OUTSIDE_VIETNAM,
2021,1320322132202130,103.3951,23.3498,103.39508056640625,23.349820978829413,1.9433593749340616e-05,2.0978829414985967e-05,OUTSIDE_VIETNAM,
